rank,head_noun,freq,cum_coverage_pct,in_item_master
1,양파,444,4.0,Y
2,마늘,365,7.3,Y
3,소금,294,9.9,Y
4,설탕,263,12.3,Y
5,당근,214,14.2,Y
6,물,212,16.1,
7,참기름,178,17.7,Y
8,후춧가루,178,19.3,Y
9,식초,164,20.8,Y
10,대파,144,22.1,Y
11,달걀,141,23.4,Y
12,토마토,116,24.4,Y
13,간장,109,25.4,Y
14,저염간장,104,26.3,Y
15,두부,102,27.2,Y
16,홍고추,102,28.2,Y
17,밀가루,101,29.1,Y
18,식용유,100,30.0,Y
19,파프리카,98,30.8,Y
20,우유,96,31.7,Y
21,고춧가루,95,32.6,Y
22,표고버섯,91,33.4,Y
23,버터,90,34.2,Y
24,감자,87,35.0,Y
25,올리브유,85,35.7,Y
26,올리브오일,82,36.5,Y
27,통깨,81,37.2,Y
28,레몬즙,79,37.9,
29,오이,77,38.6,Y
30,무,76,39.3,Y
31,다진마늘,74,40.0,Y
32,생강,72,40.6,Y
33,생크림,72,41.3,Y
34,애호박,70,41.9,Y
35,꿀,67,42.5,Y
36,청양고추,65,43.1,Y
37,사과,64,43.6,Y
38,방울토마토,64,44.2,Y
39,깻잎,64,44.8,Y
40,다시마,63,45.4,Y
41,파,62,45.9,Y
42,미나리,59,46.5,Y
43,단호박,59,47.0,Y
44,레몬,59,47.5,Y
45,후추,59,48.0,Y
46,시금치,58,48.6,Y
47,배,57,49.1,Y
48,올리고당,56,49.6,Y
49,쌀,54,50.1,Y
50,새송이버섯,53,50.5,Y
51,가지,53,51.0,Y
52,새우,52,51.5,Y
53,청고추,50,51.9,Y
54,닭가슴살,50,52.4,Y
55,고추장,47,52.8,Y
56,부추,46,53.2,Y
57,밥,45,53.6,Y
58,찹쌀가루,44,54.0,Y
59,된장,43,54.4,Y
60,마요네즈,42,54.8,Y
61,양송이버섯,40,55.1,Y
62,소고기,40,55.5,Y
63,고구마,39,55.9,Y
64,전분,39,56.2,Y
65,대추,38,56.6,Y
66,느타리버섯,38,56.9,Y
67,흰후추,38,57.2,Y
68,브로콜리,37,57.6,Y
69,호두,36,57.9,Y
70,돼지고기,36,58.2,Y
71,참깨,36,58.5,Y
72,녹말가루,36,58.9,Y
73,팽이버섯,35,59.2,Y
74,빵가루,35,59.5,Y
75,맛술,34,59.8,Y
76,잣,32,60.1,Y
77,맛간장,32,60.4,Y
78,유자청,31,60.7,Y
79,마늘다진것,31,60.9,Y
80,쪽파,29,61.2,
81,매실액,29,61.5,Y
82,양배추,28,61.7,Y
83,카레가루,28,62.0,Y
84,땅콩,27,62.2,Y
85,양상추,26,62.4,Y
86,로즈마리,26,62.7,Y
87,청주,26,62.9,Y
88,치즈,26,63.1,Y
89,통후추,26,63.4,Y
